Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/12/2021,Single Family Residential,8900 Linton Ln,Alexandria,VA,22308,805000,4,2.5,STRATFORD LANDING,2244,39667,1975,140,359,,Sold,,,https://www.redfin.com/VA/Alexandria/8900-Linton-Ln-22308/home/9827853,BRIGHT MLS,VAFX2005748,N,Y,38.7165613,-77.0667223
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/15/2021,Single Family Residential,217 E Oxford Ave,Alexandria,VA,22301,1625000,5,3.5,DEL RAY,3115,4791,1930,198,522,,Sold,,,https://www.redfin.com/VA/Alexandria/217-E-Oxford-Ave-22301/home/11844326,BRIGHT MLS,VAAX258456,N,Y,38.8268562,-77.057121
redfin_2021-12-30-21-40-26.csv,PAST SALE,11/5/2021,Single Family Residential,6310 Lincolnia Rd,Alexandria,VA,22312,550000,3,3,PROP OF JOANNE B AND ERN,1630,10848,1917,55,337,,Sold,,,https://www.redfin.com/VA/Alexandria/6310-Lincolnia-Rd-22312/home/9723409,BRIGHT MLS,VAFX2015960,N,Y,38.824032,-77.1437752
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/21/2021,Single Family Residential,8409 Fort Hunt Rd,Alexandria,VA,22308,750000,4,2.5,WAYNEWOOD,2109,10679,1962,223,356,,Sold,,,https://www.redfin.com/VA/Alexandria/8409-Fort-Hunt-Rd-22308/home/9820458,BRIGHT MLS,VAFX1182796,N,Y,38.7287627,-77.0570985
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/28/2021,Single Family Residential,3619 Drews Ct,Alexandria,VA,22309,870000,4,3.5,MOUNT VEE MANOR,5610,7309,2000,246,155,57,Sold,,,https://www.redfin.com/VA/Alexandria/3619-Drews-Ct-22309/home/9831795,BRIGHT MLS,VAFX1185656,N,Y,38.7327749,-77.0957417
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/13/2021,Single Family Residential,6709 Swarthmore Dr,Alexandria,VA,22307,515000,3,2,BUCKNELL MANOR,1080,7272,1950,139,477,,Sold,,,https://www.redfin.com/VA/Alexandria/6709-Swarthmore-Dr-22307/home/9792374,BRIGHT MLS,VAFX2001940,N,Y,38.7723113,-77.0666324
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/5/2021,Single Family Residential,3412 Alabama Ave,Alexandria,VA,22305,1125000,5,5.5,BEVERLY HILLS,5028,8072,1949,300,224,,Sold,,,https://www.redfin.com/VA/Alexandria/3412-Alabama-Ave-22305/home/11849056,BRIGHT MLS,VAAX253606,N,Y,38.8376293,-77.067914
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/17/2021,Single Family Residential,3008 Russell Rd,Alexandria,VA,22305,1350000,4,4,MONTICELLO PARK,3426,9712,1940,227,394,,Sold,,,https://www.redfin.com/VA/Alexandria/3008-Russell-Rd-22305/home/11848774,BRIGHT MLS,VAAX257562,N,Y,38.8327854,-77.0675318
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/2/2021,Single Family Residential,6045 Shaffer Dr,Alexandria,VA,22310,886000,5,3.5,VILLAGES AT HUNTINGTON,2824,8995,1995,272,314,,Sold,,,https://www.redfin.com/VA/Alexandria/6045-Shaffer-Dr-22310/home/9763867,BRIGHT MLS,VAFX1182718,N,Y,38.7848108,-77.0828776
redfin_2021-12-30-21-40-26.csv,PAST SALE,2/3/2021,Single Family Residential,6584 Braddock Rd,Alexandria,VA,22312,899000,5,3.5,BRADDOCK ROAD PROJECT LL,4161,36396,2012,330,216,,Sold,,,https://www.redfin.com/VA/Alexandria/6584-Braddock-Rd-22312/home/12417411,BRIGHT MLS,VAFX1165800,N,Y,38.8150931,-77.1700367
